Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
1.062,-0.157227,-0.565918,10.311035,31.70177405,-1.40303497,-16.62971255,100939.0015,0.118862,0.034288,0.623062,1
1.072,-0.189453,-0.631836,10.284668,30.23835905,-0.73230297,-17.42239455,100939.0015,0.117643,0.030575,0.629617,1
1.082,-0.251465,-0.647949,10.264648,28.83592005,-1.03718197,-18.33702955,100917.9993,0.130188,0.029409,0.61737,1
1.092,-0.277832,-0.680176,10.245117,27.67738305,-1.76888897,-19.06873655,100902.002,0.119202,0.026773,0.619397,1
1.102,-0.192871,-0.690918,10.220703,26.82372505,-1.89083997,-19.00776055,100902.002,0.117932,0.025919,0.6235,1
1.112,-0.189941,-0.709961,10.196777,25.42128605,-1.40303497,-19.67849255,100877.002,0.117242,0.026629,0.621521,1
1.122,-0.297363,-0.745117,10.172852,23.28714005,-1.03718197,-22.84922555,100877.002,0.115773,0.025351,0.626297,1
1.132,-0.304199,-0.767578,10.158203,22.00665305,-2.13474197,-24.06873655,100877.002,0.131187,0.016949,0.616096,1
1.142,-0.196289,-0.804199,10.158203,20.78714005,-1.89083997,-24.25166455,100848.999,0.120018,0.021941,0.621174,1
1.152,-0.186035,-0.774902,10.111328,19.44567705,-1.22010797,-24.86141855,100815.9973,0.114492,0.020908,0.622743,1
1.162,-0.209473,-0.745605,10.098633,17.73835905,-1.09815697,-24.80044455,100835.9985,0.118539,0.018548,0.626556,1
1.172,-0.26416,-0.791992,10.109863,16.27494505,-1.70791297,-24.80044455,100828.0029,0.116686,0.019624,0.624313,1
1.182,-0.193359,-0.871094,10.077148,32.18957905,-0.54937697,0.321507455,100811.9995,0.134446,0.012011,0.620561,1
1.192,-0.17334,-0.864746,10.183594,13.65299305,-1.76888897,-29.37361455,100763.0005,0.121245,0.017202,0.620248,1
1.202,-0.251953,-0.82373,10.493164,12.49445705,-1.82986397,-31.99556455,100800,0.118438,0.018683,0.627849,1
1.212,-0.233887,-0.911621,10.334473,9.445677045,-2.01279097,-34.12971255,100778.9978,0.112692,0.021538,0.618897,1
1.222,-0.140625,-0.771973,10.775391,9.262750045,-3.23230297,-34.31263855,100778.9978,0.116317,0.016717,0.625217,1
1.232,-0.14209,-0.994629,10.540527,6.274945045,-2.07376697,-34.73946855,100786.9995,0.133918,0.009648,0.616352,1
1.242,-0.067383,-0.944336,9.376465,5.299335045,-2.37864497,-36.20288155,100709.0027,0.115148,0.024335,0.615931,1
1.252,-0.205078,-0.908691,8.827148,4.506652045,-3.17132797,-37.23946855,100729.9988,0.11615,0.020086,0.624245,1
1.262,-0.266602,-0.975098,8.242676,1.823725045,-3.11035197,-39.73946855,100734.0027,0.118711,0.017862,0.628342,1
1.272,-0.125488,-0.96875,8.04541,0.421286045,-3.35425497,-42.36142055,100704.9988,0.111696,0.027153,0.622604,1
1.282,0.050293,-0.943359,7.925781,-1.407981955,-3.29327897,-45.53215155,100717.9993,0.129225,0.016235,0.61643,1
1.292,-0.168457,-0.936523,7.641113,-3.664079955,-3.59815697,-47.84922555,100696.9971,0.118306,0.02591,0.62554,1
1.302,-0.182129,-0.890625,7.556152,-5.371396955,-4.57376697,-49.73946855,100689.0015,0.124602,0.02705,0.614804,1
1.312,-0.043457,-0.918945,7.362793,-6.712860955,-4.69571797,-50.89800755,100667.9993,0.123426,0.029355,0.615658,1
1.322,0.055664,-0.835938,7.260742,-8.481153955,-4.81766897,-51.26385955,100667.9993,0.114849,0.029214,0.629565,1
1.332,-0.083984,-0.869141,7.177246,-10.24944595,-5.24449897,-52.42239455,100677.002,0.12549,0.030819,0.616808,1
1.342,-0.11084,-0.8125,7.067383,-11.83481195,-6.22010897,-53.51995555,100664.0015,0.109876,0.039077,0.620844,1
1.352,-0.084473,-0.822754,6.988281,-13.17627495,-6.76888897,-53.88581155,100644.0002,0.111766,0.038218,0.629989,1
1.362,0.025391,-0.741699,6.885742,-14.63968995,-7.25669397,-55.10532055,100644.0002,0.106522,0.045327,0.629198,1
1.372,-0.083008,-0.722168,6.816895,-16.16407995,-7.62254797,-55.41019955,100632.0007,0.10469,0.047087,0.626589,1
1.385,-0.017578,-0.68457,6.703613,-18.05432495,-8.53718097,-56.14190755,100619.0002,0.120183,0.046482,0.618397,1
1.395,-0.066895,-0.66748,6.618164,-19.09090995,-8.90303597,-55.77605555,100607.0007,0.107538,0.051189,0.626962,1
1.405,-0.085449,-0.606934,6.550293,-20.24944695,-9.02498697,-56.32483355,100582.0007,0.104241,0.056026,0.627301,1
1.415,-0.09375,-0.58252,6.472656,-21.40798195,-9.69571797,-56.56873755,100582.0007,0.102049,0.06143,0.626798,1
1.425,-0.066895,-0.538574,6.419922,-22.44456895,-10.42742597,-56.14190755,100582.0007,0.100394,0.061277,0.630221,1
1.435,-0.05957,-0.513672,6.361816,-22.87139695,-10.73230297,-56.26385955,100598.999,0.1143,0.059806,0.620213,1
1.445,-0.092773,-0.460938,6.309082,-23.84700795,-11.58596197,-56.01995555,100565.9973,0.099965,0.070674,0.62231,1
1.455,-0.094727,-0.421387,6.232422,-24.70066695,-12.01279097,-55.77605555,100558.0017,0.097817,0.072304,0.628567,1
1.465,-0.09375,-0.372559,6.164551,-25.24944695,-12.25669397,-55.83702955,100546.0022,0.094914,0.07431,0.627605,1
1.475,-0.092285,-0.365234,6.116699,-25.92017795,-13.11035197,-56.01995555,100550,0.092492,0.080845,0.626673,1
1.485,-0.144531,-0.320312,6.050781,-26.10310595,-13.53718097,-55.59312955,100513.0005,0.107489,0.075854,0.621718,1
1.495,-0.147461,-0.263672,5.989746,-26.10310595,-13.41522997,-55.53215155,100513.0005,0.090738,0.084595,0.623828,1
1.505,-0.183105,-0.230469,5.950195,-26.71285995,-13.72010897,-55.83702955,100516.9983,0.086909,0.091204,0.624413,1
1.515,-0.185059,-0.201172,5.907227,-26.89578795,-13.96401097,-55.71507755,100496.0022,0.086024,0.091889,0.628345,1
1.525,-0.210449,-0.184082,5.850098,-26.77383595,-14.26888897,-55.53215155,100484.0027,0.08428,0.095723,0.630183,1
1.535,-0.198242,-0.168457,5.782227,-26.59090995,-14.45181597,-55.53215155,100484.0027,0.094757,0.09723,0.621365,1
